date,value
10-11-2021,99.792
11-11-2021,99.345
12-11-2021,99.66
13-11-2021,99.75
14-11-2021,99.738
15-11-2021,99.782
16-11-2021,99.955
17-11-2021,100.21
18-11-2021,100.14
19-11-2021,99.924
20-11-2021,99.911
21-11-2021,99.831
22-11-2021,99.721
23-11-2021,99.562
24-11-2021,99.464
25-11-2021,99.236
26-11-2021,100.14
27-11-2021,100.16
28-11-2021,100.11
29-11-2021,99.954
30-11-2021,99.715
01-12-2021,99.616
02-12-2021,99.748
03-12-2021,99.665
04-12-2021,99.61
05-12-2021,99.614
06-12-2021,99.984
07-12-2021,99.884
08-12-2021,99.565
09-12-2021,99.957
10-12-2021,100.58
11-12-2021,100.48
12-12-2021,100.4
13-12-2021,100.19
14-12-2021,100.61
15-12-2021,101.1
16-12-2021,101.48
17-12-2021,101
18-12-2021,100.74
19-12-2021,100.56
20-12-2021,100.06
21-12-2021,100.43
22-12-2021,100.79
23-12-2021,100.63
24-12-2021,100.54
25-12-2021,100.56
26-12-2021,101.06
27-12-2021,100.79
28-12-2021,100.37
29-12-2021,100.62
30-12-2021,100.47
31-12-2021,100.83
01-01-2022,100.83
02-01-2022,100.75
03-01-2022,100.3
04-01-2022,100.85
05-01-2022,100.9
06-01-2022,100.73
07-01-2022,101.19
08-01-2022,100.87
09-01-2022,100.91
10-01-2022,100.57
11-01-2022,100.64
12-01-2022,101.16
13-01-2022,101.43
14-01-2022,101.41
15-01-2022,101.73
16-01-2022,101.55
17-01-2022,101.33
18-01-2022,101.47
19-01-2022,101.33
20-01-2022,101.21
21-01-2022,100.89
22-01-2022,100.89
23-01-2022,100.86
24-01-2022,100.67
25-01-2022,100.99
26-01-2022,101.04
27-01-2022,100.69
28-01-2022,100.5
29-01-2022,100.54
30-01-2022,100.53
31-01-2022,100.26
01-02-2022,101.11
02-02-2022,101.49
03-02-2022,101.52
04-02-2022,101
05-02-2022,101.05
06-02-2022,101.02
07-02-2022,101.05
08-02-2022,101.18
09-02-2022,101.24
10-02-2022,102.39
11-02-2022,102.56
12-02-2022,102.59
13-02-2022,102.39
14-02-2022,102.42
15-02-2022,101.83
16-02-2022,101.84
17-02-2022,102.26
18-02-2022,101.53
19-02-2022,101.53
20-02-2022,101.52
21-02-2022,101.71
22-02-2022,101.43
23-02-2022,101.13
24-02-2022,100.84
25-02-2022,100.63
26-02-2022,100.66
27-02-2022,100.34
28-02-2022,101.05
01-03-2022,101.03
02-03-2022,101.26
03-03-2022,101.3
04-03-2022,101.09
05-03-2022,101.08
06-03-2022,100.97
07-03-2022,101.06
08-03-2022,100.73
09-03-2022,100.33
10-03-2022,99.974
11-03-2022,100.05
12-03-2022,100.08
13-03-2022,100.18
14-03-2022,99.515
15-03-2022,99.489
16-03-2022,99.898
17-03-2022,99.948
18-03-2022,100.11
19-03-2022,100.11
20-03-2022,100.01
21-03-2022,100.48
22-03-2022,100.95
23-03-2022,101.09
24-03-2022,100.7
25-03-2022,100.7
26-03-2022,100.61
27-03-2022,100.49
28-03-2022,99.623
29-03-2022,99.109
30-03-2022,99.619
31-03-2022,99.807
01-04-2022,99.605
02-04-2022,99.611
03-04-2022,99.573
04-04-2022,98.934
05-04-2022,98.68
06-04-2022,99.261
07-04-2022,99.228
08-04-2022,98.962
09-04-2022,98.962
10-04-2022,98.977
11-04-2022,98.8
12-04-2022,99.018
13-04-2022,99.872
14-04-2022,99.768
15-04-2022,99.682
16-04-2022,99.689
17-04-2022,99.694
18-04-2022,99.254
19-04-2022,99.42
20-04-2022,99.659
21-04-2022,99.378
22-04-2022,98.164
23-04-2022,98.177
24-04-2022,98.128
25-04-2022,97.489
26-04-2022,96.6
27-04-2022,95.853
28-04-2022,95.424
29-04-2022,96.218
30-04-2022,96.218
01-05-2022,96.295
02-05-2022,95.621
03-05-2022,95.549
04-05-2022,95.815
05-05-2022,94.661
06-05-2022,94.956
